Sentiment,Review
1,"Surprisingly good Flautas! They came as 3 rolls made of a crunchy tortilla containing lots of shredded juicy beef (although I thought it tasted more like pork haha). It all sat in a pool of thick savoury sauce that wasn't overly salty. I also tried their White Wine Sangria, $60 for a pitcher was OK for this citrusy drink with a decent amount of alcohol! 

TIP: if you're celebrating a birthday, let the staff know and they'll surprise the bday person with a hat, song & free slice of a DELICIOUS dulce Leche soaked cake !

Otherwise, the indoor seating space is really tight and the service was subpar."
0,"The service is terrible and the food is not good enough to make up for the awful service. The one good thing on the menu is the risotto with the veal shank, but everything else we ordered was just okay. The waitress we had didn't listen well enough and took too long doing everything. We weren't even there on a particularly busy night, so the lack of good service can't be blamed on how packed the restaurant was. I would save the money and settle for somewhere else instead."
0,"Disappointed. 
Good service but not so good food. The pasta was so tough to the point of being uncooked!  the bread was good."
1,"It's in yorkville and it has a cool name so it must be good, right? Right! Only, it doesn't get any better than good. Took my sis for her bday and was so shocked at how basic the flavours were. My mom got the four cheese spaghetti-- it was drippy n barely had taste. Mine was 7/10--a chicken dish, sister said her pasta was ""more wet than buttery"". The best part about this place was the beautiful interior and great service. I wish I liked the food more bcoz everyone seemed so nice."
2,This restaurant is so cute and I am so glad I tried this place out for summerlicious! Everything we had was delicious! The staff were super friendly.  The only downside is that the restaurant is a little cramped.
0,"I love Ramen and every winter I'm in Japan . Was dying to try   legendary vegan Isshin ramen  since my English teaser highly recommended . TOO SALTY!! 
In Toronto way more better places . May b other dishes would tests batter , I never back to that one . 
Hope it helps"
2,"Okayyyy if you looking for a cute date night or a fun mix and mingle after work, this is the spot! The drinks are pricey but for every drink you get during their version of happy hour you get a token that you can turn in for a small plate of DELICIOUS charcuterie board. We're talking olives, pizza, bread, cheese, pickled stuff, cheese and did I mention cheese? It was delish.

The vibe here is sleek, mod and minimalistic. Really pretty! 

Meg was our server and she was the best! Super helpful, nice, and so smiley! She radiates sunshine and being from California I'm a big fan of the sun! Thanks for all your help Meg, we will be back next time we're visiting Toronto."
1,"The first thing that'll happen when you arrive (after a tiny struggle to find this place cus it's in the corner where the main entrance is) is that you'll be greeted by the nicest lady everrrrr! You can order at the counter for takeout or have a seat by the windows and she'll come over to take you order.

We ordered the alfredo pasta and a pizza. Pizza was a thin flatbread style pizza topped with some cheapo cheese. The alfredo pasta was a good size for the price but really tasted like nothing special. Pasta wasn't homemade and the sauce was pretty average. 

Service over Food here!"
1,"This place is a small hole in the wall and worth visiting if you crave some good old fashioned tacos rather than the commercial stuff.. portion sizes were good however the flavours were slightly missing for me.. 

I would visit them again if I was in the area, but not necessarily my go to place. Please don't let my review deter you from trying their tacos though, they are still pretty good. 

Flavours can be very subjective and this place is definitely worth a try.. but if you know and love tacos and taco culture as much as me, then you would also know that everyone has their own go to spot.. 

This place has great service, friendly staff and a small seating area if you just want to eat quickly or grab'n'go."
0,"Ok, so I know this place is all the rage. 

I ordered the grilled beef for corona takeaway and I was disgusted. There was more fat, cartilage and inedible pieces than beef. Chew chew CRUNCH - spit. Over and over. My friend called me two hours later after ordering the same thing - she ended up giving her order to the homeless after the first bite. 

This means that they either don't clean (cut the meat) properly, or using cheaper pieces to save a buck. 

The grilled chicken was dry too. Honestly though, the shrimp was good. Stick to pulled beef and chicken for authenticity and - TEXTURE. C'mon seven lives!

Very disappointed."
2,"A small space with open designed kitchen. Came here for breakfast and it didn't let me down. Must try the Porchetta sandwich, it is surprisingly good !"
2,Came here looking for eggs and bar Buca def did not disappoint. The egg with truffle and the pancakes were to die for! We shared all the items amongst three people. Would definitely order less next time as the serving size is very large. 10/10 would go again!
1,"Service is very good...friendly ambiance but I'm sorry, I just did not taste the authentic chinese food that I want.  Maybe they are just giving a modern twist but not for me.  Also, the meat are so thinly sliced for the price it should have more than that.  It just my taste and maybe some people will not agree."
2,"This place is hands down amazing. Came with a friend this Wednesday. As other reviews have stated, it is a bit hard to find the entrance, so use the pictures others have posted for reference! The waitress who tended to us was friendly and accommodating. 

I would die for the americano served here, please get it, the coffee is amazing, smooth, and light. 

The caprese salad is amazing, specifically the spices, and the mozzarella, which I believe was freshly made. 
We piled the salad on top of the bread given to us, and please do yourself a favour and try that, as it is amazing. The freshness of all the ingredients with an extra drizzle of balsamic on top of a warm crusty bread is near godly.

My friend's pasta was also spectacular. The pasta was perfectly cooked al denté, and the sauce was just creamy enough to the point where it doesn't overwhelm you. 

Overall, amazing restaurant, both my friend and I will be returning for many more times to come."
0,"The decor is nice and the atmosphere feels right, but this place lacked a bit of service attention. 

We dropped by for a quick bite as we love Mexican food. We ended up ordering the fajitas for two. It was a large portion of meat (we got chicken and chorizo mix) but there were only 5 (five) tiny tortillas... that didn't make sense to me. 2 or us, lots of meat, but very few tortillas...we asked and we had to pay to get more, which I thought was not reasonable. I didn't get more cause I'm cheap. Also, we got a tiny container of sour cream. 

Overall it felt like they offered very little in terms of condiments. 
I waited a good 5-10 minutes to get more napkins and some hot sauce (Something good and spicy) but no luck. I ended up getting up and walking to the front to ask for it. Overall the service wasn't great. 
The fajitas were good but nothing out of this world. The selection of Mexican beers was also limited. 
We will have to keep looking for the ultimate Mexican Food place!"
1,"In a word, mediocre ! Always a hit or miss. Cramped ,over priced and not overly well trained servers. Stick to the basics when ordering & pass on the deserts. Try this place , you may get lucky but it's always a gamble. Sometimes it pays off , sometimes bust...."
